dataset,seed,model,n_features,mean_abs_standardized_shift,domain_classifier_auc,n,accuracy,balanced_accuracy,f1_macro,roc_auc,raw_domain_classifier_auc
TCGA_METABRIC_valid,42,logistic_l2,83,0.0,0.5,411.0,0.8442822384428224,0.852101789126281,0.8218922960453522,0.9762633026851131,
CPTAC_2020,42,logistic_l2,83,0.03835050297681208,0.759603951882105,122.0,0.9262295081967213,0.9012532345061437,0.8748912087521032,0.9878250724971884,0.24039604811789497
SMC_2018,42,logistic_l2,83,0.06515597417515254,0.5164577241332052,168.0,0.8035714285714286,0.8731805782869613,0.7750504479019329,0.9857513294112044,0.48354227586679477
SCANB_GSE96058,42,logistic_l2,83,0.03814340968391394,0.5133201157839813,3137.0,0.8106471150781001,0.8603224861446908,0.7850646800803067,0.980132482738108,0.5133201157839813
TCGA_METABRIC_valid,42,extra_trees,83,0.0,0.5,411.0,0.8686131386861314,0.8027042854661406,0.8250453539344573,0.9779694245273168,
CPTAC_2020,42,extra_trees,83,0.03835050297681208,0.759603951882105,122.0,0.9016393442622951,0.8352028143380764,0.8552360631308,0.9877890535912005,0.24039604811789497
SMC_2018,42,extra_trees,83,0.06515597417515254,0.5164577241332052,168.0,0.8511904761904762,0.923076923076923,0.9049195816319104,0.9891024143375649,0.48354227586679477
SCANB_GSE96058,42,extra_trees,83,0.03814340968391394,0.5133201157839813,3137.0,0.8712145361810647,0.8435678669712253,0.8378691862639656,0.981636545309636,0.5133201157839813
TCGA_METABRIC_valid,43,logistic_l2,83,0.0,0.5,411.0,0.8442822384428224,0.852101789126281,0.8218922960453522,0.9762633026851131,
CPTAC_2020,43,logistic_l2,83,0.03835050297681208,0.759603951882105,122.0,0.9262295081967213,0.9012532345061437,0.8748912087521032,0.9878250724971884,0.24039604811789497
SMC_2018,43,logistic_l2,83,0.06515597417515254,0.5164577241332052,168.0,0.8035714285714286,0.8731805782869613,0.7750504479019329,0.9857513294112044,0.48354227586679477
SCANB_GSE96058,43,logistic_l2,83,0.03814340968391394,0.5133201157839813,3137.0,0.8106471150781001,0.8603224861446908,0.7850646800803067,0.980132482738108,0.5133201157839813
TCGA_METABRIC_valid,43,extra_trees,83,0.0,0.5,411.0,0.8661800486618005,0.7989859136289569,0.8223523155063729,0.9765855052790824,
CPTAC_2020,43,extra_trees,83,0.03835050297681208,0.759603951882105,122.0,0.9016393442622951,0.826946880385548,0.8526981246218994,0.9893680513621487,0.24039604811789497
SMC_2018,43,extra_trees,83,0.06515597417515254,0.5164577241332052,168.0,0.8571428571428571,0.916941262047645,0.901674081301081,0.9884161437987377,0.48354227586679477
SCANB_GSE96058,43,extra_trees,83,0.03814340968391394,0.5133201157839813,3137.0,0.8817341408989481,0.8608931794216588,0.8539595434763105,0.9832784549758674,0.5133201157839813
TCGA_METABRIC_valid,44,logistic_l2,83,0.0,0.5,411.0,0.8442822384428224,0.852101789126281,0.8218922960453522,0.9762633026851131,
CPTAC_2020,44,logistic_l2,83,0.03835050297681208,0.759603951882105,122.0,0.9262295081967213,0.9012532345061437,0.8748912087521032,0.9878250724971884,0.24039604811789497
SMC_2018,44,logistic_l2,83,0.06515597417515254,0.5164577241332052,168.0,0.8035714285714286,0.8731805782869613,0.7750504479019329,0.9857513294112044,0.48354227586679477
SCANB_GSE96058,44,logistic_l2,83,0.03814340968391394,0.5133201157839813,3137.0,0.8106471150781001,0.8603224861446908,0.7850646800803067,0.980132482738108,0.5133201157839813
TCGA_METABRIC_valid,44,extra_trees,83,0.0,0.5,411.0,0.8637469586374696,0.8032470615482602,0.8200598061221787,0.9770244097470595,
CPTAC_2020,44,extra_trees,83,0.03835050297681208,0.759603951882105,122.0,0.9016393442622951,0.798711586267901,0.8239679658917408,0.9889639266954446,0.24039604811789497
SMC_2018,44,extra_trees,83,0.06515597417515254,0.5164577241332052,168.0,0.8571428571428571,0.916941262047645,0.901674081301081,0.9887917900463581,0.48354227586679477
SCANB_GSE96058,44,extra_trees,83,0.03814340968391394,0.5133201157839813,3137.0,0.8775900541919031,0.853348022894895,0.847743515006877,0.9823943321337227,0.5133201157839813
