task,cancer_type,study_id,endpoint_family,source_attribute,labelled_samples,n_classes,label_counts
HNSC_grade_low_vs_high_GRADE,HNSC,hnsc_tcga_pan_can_atlas_2018,grade_low_vs_high,GRADE,501,2,LOW_GRADE:371; HIGH_GRADE:130
KIRC_grade_low_vs_high_GRADE,KIRC,kirc_tcga_pan_can_atlas_2018,grade_low_vs_high,GRADE,504,2,HIGH_GRADE:277; LOW_GRADE:227
OV_grade_low_vs_high_GRADE,OV,ov_tcga_pan_can_atlas_2018,grade_low_vs_high,GRADE,469,2,HIGH_GRADE:399; LOW_GRADE:70
UCEC_grade_low_vs_high_GRADE,UCEC,ucec_tcga_pan_can_atlas_2018,grade_low_vs_high,GRADE,529,2,HIGH_GRADE:313; LOW_GRADE:216
BRCA_molecular_or_histologic_subtype_SUBTYPE,BRCA,brca_tcga_pan_can_atlas_2018,molecular_or_histologic_subtype,SUBTYPE,945,4,BRCA_LumA:499; BRCA_LumB:197; BRCA_Basal:171; BRCA_Her2:78
COADREAD_molecular_or_histologic_subtype_SUBTYPE,COADREAD,coadread_tcga_pan_can_atlas_2018,molecular_or_histologic_subtype,SUBTYPE,449,3,CIN:328; MSI:63; GS:58
HNSC_molecular_or_histologic_subtype_SUBTYPE,HNSC,hnsc_tcga_pan_can_atlas_2018,molecular_or_histologic_subtype,SUBTYPE,487,2,HPV-:415; HPV+:72
UCEC_molecular_or_histologic_subtype_SUBTYPE,UCEC,ucec_tcga_pan_can_atlas_2018,molecular_or_histologic_subtype,SUBTYPE,507,4,CN_HIGH:163; MSI:148; CN_LOW:147; POLE:49
BRCA_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,BRCA,brca_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,1065,2,EARLY_STAGE_I_II:797; ADVANCED_STAGE_III_IV:268
COADREAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,COADREAD,coadread_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,580,2,EARLY_STAGE_I_II:324; ADVANCED_STAGE_III_IV:256
HNSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,HNSC,hnsc_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,453,2,ADVANCED_STAGE_III_IV:349; EARLY_STAGE_I_II:104
KIRC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,KIRC,kirc_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,EARLY_STAGE_I_II:303; ADVANCED_STAGE_III_IV:209
LUAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUAD,luad_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,EARLY_STAGE_I_II:402; ADVANCED_STAGE_III_IV:110
LUSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUSC,lusc_tcga_pan_can_atlas_2018,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,484,2,EARLY_STAGE_I_II:394; ADVANCED_STAGE_III_IV:90
BRCA_t_stage_low_vs_high_PATH_T_STAGE,BRCA,brca_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,1081,2,T1_T2:905; T3_T4:176
COADREAD_t_stage_low_vs_high_PATH_T_STAGE,COADREAD,coadread_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,591,2,T3_T4:468; T1_T2:123
HNSC_t_stage_low_vs_high_PATH_T_STAGE,HNSC,hnsc_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,460,2,T3_T4:273; T1_T2:187
KIRC_t_stage_low_vs_high_PATH_T_STAGE,KIRC,kirc_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,512,2,T1_T2:320; T3_T4:192
LUAD_t_stage_low_vs_high_PATH_T_STAGE,LUAD,luad_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,511,2,T1_T2:446; T3_T4:65
LUSC_t_stage_low_vs_high_PATH_T_STAGE,LUSC,lusc_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,485,2,T1_T2:391; T3_T4:94
PRAD_t_stage_low_vs_high_PATH_T_STAGE,PRAD,prad_tcga_pan_can_atlas_2018,t_stage_low_vs_high,PATH_T_STAGE,487,2,T3_T4:300; T1_T2:187
