task,cancer_type,endpoint_family,source_attribute,labelled_samples,n_classes,folds,selected_features_per_fold,model,f1_macro,balanced_accuracy,roc_auc
UCEC_grade_low_vs_high_GRADE,UCEC,grade_low_vs_high,GRADE,529,2,3,300,logistic_elasticnet,0.8109446567669283,0.8161903916696249,0.8886818128032186
UCEC_grade_low_vs_high_GRADE,UCEC,grade_low_vs_high,GRADE,529,2,3,300,extra_trees,0.8340805520193355,0.8348050526564903,0.9017128150514732
KIRC_grade_low_vs_high_GRADE,KIRC,grade_low_vs_high,GRADE,504,2,3,300,logistic_elasticnet,0.6251297655271165,0.6250815057491372,0.6658979945609822
KIRC_grade_low_vs_high_GRADE,KIRC,grade_low_vs_high,GRADE,504,2,3,300,extra_trees,0.6586501661142883,0.6579700694985607,0.7196202229679225
HNSC_grade_low_vs_high_GRADE,HNSC,grade_low_vs_high,GRADE,501,2,3,300,logistic_elasticnet,0.6383041908809298,0.640078789135393,0.6800539083557952
HNSC_grade_low_vs_high_GRADE,HNSC,grade_low_vs_high,GRADE,501,2,3,300,extra_trees,0.6157062660792713,0.6053597346050177,0.7332365747460088
OV_grade_low_vs_high_GRADE,OV,grade_low_vs_high,GRADE,469,2,3,300,logistic_elasticnet,0.5581884057971015,0.5575187969924812,0.606623702112424
OV_grade_low_vs_high_GRADE,OV,grade_low_vs_high,GRADE,469,2,3,300,extra_trees,0.5473299047783684,0.5449874686716792,0.6388471177944862
BRCA_molecular_or_histologic_subtype_SUBTYPE,BRCA,molecular_or_histologic_subtype,SUBTYPE,945,4,3,300,logistic_elasticnet,0.8170781122178354,0.8215785767744481,0.9637409837952959
BRCA_molecular_or_histologic_subtype_SUBTYPE,BRCA,molecular_or_histologic_subtype,SUBTYPE,945,4,3,300,extra_trees,0.8178385533004332,0.7974417577948713,0.9694659486175634
UCEC_molecular_or_histologic_subtype_SUBTYPE,UCEC,molecular_or_histologic_subtype,SUBTYPE,507,4,3,300,logistic_elasticnet,0.8926845479754687,0.8984915803495996,0.9814430249342274
UCEC_molecular_or_histologic_subtype_SUBTYPE,UCEC,molecular_or_histologic_subtype,SUBTYPE,507,4,3,300,extra_trees,0.9064505655099349,0.9074811320648305,0.9833677692994649
HNSC_molecular_or_histologic_subtype_SUBTYPE,HNSC,molecular_or_histologic_subtype,SUBTYPE,487,2,3,300,logistic_elasticnet,0.9295122304240846,0.9221218206157966,0.9542503346720215
HNSC_molecular_or_histologic_subtype_SUBTYPE,HNSC,molecular_or_histologic_subtype,SUBTYPE,487,2,3,300,extra_trees,0.9386561577772978,0.9085174029451137,0.9654953145917001
COADREAD_molecular_or_histologic_subtype_SUBTYPE,COADREAD,molecular_or_histologic_subtype,SUBTYPE,449,3,3,300,logistic_elasticnet,0.8512730686874459,0.863860075382363,0.9452591193310226
COADREAD_molecular_or_histologic_subtype_SUBTYPE,COADREAD,molecular_or_histologic_subtype,SUBTYPE,449,3,3,300,extra_trees,0.8885560025029052,0.8814502204956369,0.9516348767225331
BRCA_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,BRCA,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,1065,2,3,300,logistic_elasticnet,0.5368648118008732,0.5434652334313377,0.5679647558943051
BRCA_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,BRCA,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,1065,2,3,300,extra_trees,0.4909116764697316,0.5203421412386,0.589341560703384
COADREAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,COADREAD,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,580,2,3,300,logistic_elasticnet,0.6157135801279348,0.6158130787037037,0.6529827353395061
COADREAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,COADREAD,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,580,2,3,300,extra_trees,0.6379798515856097,0.6379243827160495,0.6656057098765433
KIRC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,KIRC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,3,300,logistic_elasticnet,0.6573821857630961,0.657871050262921,0.7154136466278207
KIRC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,KIRC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,3,300,extra_trees,0.6892583797346672,0.6858449002795017,0.7593601465409698
LUAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUAD,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,3,300,logistic_elasticnet,0.5319041614123581,0.5359565807327001,0.5586160108548168
LUAD_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUAD,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,512,2,3,300,extra_trees,0.49642222282378207,0.5243554952510177,0.5658299412030755
LUSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUSC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,484,2,3,300,logistic_elasticnet,0.5249451811632035,0.5252961082910321,0.5267061477721375
LUSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,LUSC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,484,2,3,300,extra_trees,0.458006718924972,0.5017484489565708,0.5648054145516075
HNSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,HNSC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,453,2,3,300,logistic_elasticnet,0.5151819069094337,0.5157042098302843,0.5621005069429138
HNSC_stage_early_vs_advanced_AJCC_PATHOLOGIC_TUMOR_STAGE,HNSC,stage_early_vs_advanced,AJCC_PATHOLOGIC_TUMOR_STAGE,453,2,3,300,extra_trees,0.4684920412422515,0.5039811549482036,0.574167952391448
BRCA_t_stage_low_vs_high_PATH_T_STAGE,BRCA,t_stage_low_vs_high,PATH_T_STAGE,1081,2,3,300,logistic_elasticnet,0.5307832078398832,0.5388090155700653,0.557803867403315
BRCA_t_stage_low_vs_high_PATH_T_STAGE,BRCA,t_stage_low_vs_high,PATH_T_STAGE,1081,2,3,300,extra_trees,0.4545913218970737,0.4977900552486188,0.5699428679055751
COADREAD_t_stage_low_vs_high_PATH_T_STAGE,COADREAD,t_stage_low_vs_high,PATH_T_STAGE,591,2,3,300,logistic_elasticnet,0.5249649837652003,0.5294715447154472,0.5487283718991036
COADREAD_t_stage_low_vs_high_PATH_T_STAGE,COADREAD,t_stage_low_vs_high,PATH_T_STAGE,591,2,3,300,extra_trees,0.4904364140518841,0.5188398999374609,0.5781564866930721
KIRC_t_stage_low_vs_high_PATH_T_STAGE,KIRC,t_stage_low_vs_high,PATH_T_STAGE,512,2,3,300,logistic_elasticnet,0.6452179518169365,0.646875,0.7122395833333333
KIRC_t_stage_low_vs_high_PATH_T_STAGE,KIRC,t_stage_low_vs_high,PATH_T_STAGE,512,2,3,300,extra_trees,0.659711374421627,0.6557291666666667,0.7233235677083334
LUAD_t_stage_low_vs_high_PATH_T_STAGE,LUAD,t_stage_low_vs_high,PATH_T_STAGE,511,2,3,300,logistic_elasticnet,0.5981246218995765,0.6139875819248017,0.5856847188685753
LUAD_t_stage_low_vs_high_PATH_T_STAGE,LUAD,t_stage_low_vs_high,PATH_T_STAGE,511,2,3,300,extra_trees,0.4660397074190178,0.5,0.6372542255950328
PRAD_t_stage_low_vs_high_PATH_T_STAGE,PRAD,t_stage_low_vs_high,PATH_T_STAGE,487,2,3,300,logistic_elasticnet,0.7030396616846455,0.7068983957219251,0.760445632798574
PRAD_t_stage_low_vs_high_PATH_T_STAGE,PRAD,t_stage_low_vs_high,PATH_T_STAGE,487,2,3,300,extra_trees,0.7048736583635964,0.70349376114082,0.7764349376114082
LUSC_t_stage_low_vs_high_PATH_T_STAGE,LUSC,t_stage_low_vs_high,PATH_T_STAGE,485,2,3,300,logistic_elasticnet,0.5050243366305542,0.5055640202426946,0.4776078794144855
