task,model,model_group,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_sd,f1_macro_ci95_low,f1_macro_ci95_high,roc_auc_ovr_macro_ci95_low,roc_auc_ovr_macro_ci95_high
COADREAD_molecular_subtype,extra_trees,tree_ensemble,10,0.8676464419323919,0.0693477331548751,0.9554414949694556,0.0374617750760376,0.824664271613952,0.910628612250832,0.9322224462205472,0.978660543718364
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,small_liquid_nn,10,0.8627974980116477,0.0728314395966063,0.9628547622577228,0.033676879532984,0.8176561040703745,0.907938891952921,0.9419816160707007,0.9837279084447448
COADREAD_molecular_subtype,mlp_early_fusion,static_nn,10,0.8596200413824157,0.0858555732083978,0.965341508029008,0.0245582060545822,0.8064062057954737,0.9128338769693576,0.9501201742184856,0.9805628418395308
COADREAD_molecular_subtype,logistic_elasticnet,linear,10,0.845258440616794,0.03848955714324,0.9555793026418028,0.03606241783227,0.8214023659428409,0.8691145152907471,0.9332275844984042,0.9779310207852012
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,10,0.8422185057936613,0.0780690605762955,0.9572638888888888,0.033453899557392,0.793830800736354,0.8906062108509686,0.9365289471225808,0.977998830655197
COADREAD_molecular_subtype,random_forest,tree_ensemble,10,0.8300167808731397,0.0736581571137972,0.9563927138894244,0.031218040776421,0.7843629821060335,0.8756705796402459,0.93704357175289,0.9757418560259588
COADREAD_molecular_subtype,hist_gradient_boosting,boosting,10,0.8235681867790225,0.085902927648786,0.959588489057239,0.0276459971049212,0.7703250006058464,0.8768113729521987,0.9424533225257964,0.9767236555886816
HNSC_HPV_status,logistic_elasticnet,linear,10,0.9468769996336924,0.0376487303361201,0.9611062717770034,0.038096891581311,0.9235420748140718,0.9702119244533132,0.9374935737397938,0.9847189698142128
HNSC_HPV_status,hist_gradient_boosting,boosting,10,0.9309576735246962,0.0594640042830003,0.9519744483159116,0.0475532373435196,0.8941015018283516,0.9678138452210407,0.9225006464523728,0.9814482501794508
HNSC_HPV_status,extra_trees,tree_ensemble,10,0.9247749512151134,0.0580584218325786,0.9726231956197112,0.0359732047684753,0.8887899685473375,0.9607599338828894,0.950326772306125,0.9949196189332976
