task,model,f1_macro_mean_aligned,f1_macro_mean_full_mismatch,f1_drop
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,0.804110551616188,0.5638728581683905,0.24023769344779755
UCEC_molecular_subtype,liquid_cfc_modality_sequence,0.8982074210782346,0.6586534653806969,0.23955395569753768
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,0.8486892941522054,0.6257184891911969,0.22297080496100852
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,0.8381921502164493,0.7010376940999744,0.13715445611647492
HNSC_HPV_status,small_liquid_cfc_modality_sequence,0.9235782540194367,0.7995832570861147,0.12399499693332205
HNSC_HPV_status,liquid_cfc_modality_sequence,0.9445338330504081,0.8258797867735054,0.11865404627690268
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,0.6666539931944956,0.571376604353734,0.09527738884076153
KIRC_grade_binary,small_liquid_cfc_modality_sequence,0.6600633992853558,0.5958624462095757,0.06420095307578011
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,0.6689986238977769,0.6246680551528234,0.04433056874495345
KIRC_grade_binary,liquid_cfc_modality_sequence,0.6529112360186877,0.6317040991333492,0.021207136885338485
