task,seed,model,scenario,mismatch_rate,feature_set,best_epoch,best_validation_score,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,10,0.9844869877298745,153,0.9084967320261438,0.9217918985776129,0.9023732251521298,0.9837094328097693
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.0,multiomics_core,18,0.9806631919071976,153,0.8758169934640523,0.8722454133168419,0.8596869861404746,0.9773379828753355
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,5,0.9763235484411156,153,0.9084967320261438,0.9113868274582559,0.8906780354483412,0.9862959037022454
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.0,multiomics_core,18,0.9835865949640725,153,0.9084967320261438,0.9219181612038755,0.9112143234672305,0.9857119317441527
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,7,0.9816810718852758,153,0.869281045751634,0.8775999793856937,0.8437165082108902,0.9832855067631819
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.1,multiomics_core,28,0.9782094332298137,153,0.9281045751633987,0.9277262420119563,0.9230110557942516,0.9845110758208451
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,15,0.9799786490683231,153,0.8431372549019608,0.845122139764997,0.8362426019419779,0.9620986790767754
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.1,multiomics_core,14,0.983237958226769,153,0.8562091503267973,0.8675968872397444,0.8531239026563889,0.9651140403224646
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,33,0.9700631013274874,153,0.8627450980392157,0.8723716759431046,0.8466329966329966,0.9750723706706479
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.25,multiomics_core,11,0.9751166499208379,153,0.8496732026143791,0.8617140795712224,0.842864890408497,0.9762526815421964
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,6,0.9859227522530751,153,0.8104575163398693,0.8074675324675324,0.7910590957030585,0.9305829645052837
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.25,multiomics_core,25,0.985605418797954,153,0.8169934640522876,0.8019119769119769,0.7959798357327428,0.9378188956867861
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,8,0.9648341401778102,153,0.8562091503267973,0.8443413729128015,0.8547930829949355,0.9678171632894441
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,train_misaligned,0.5,multiomics_core,8,0.9397013914261356,153,0.8627450980392157,0.8716656359513502,0.8611105857667285,0.9700636671291458
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,6,0.9761068231640482,153,0.6601307189542484,0.6506390434961864,0.63816463297501,0.8521051313891282
UCEC_molecular_subtype,42,small_liquid_cfc_modality_sequence,test_misaligned,0.5,multiomics_core,6,0.9691148497442454,153,0.6143790849673203,0.6012935477221192,0.5893755876334275,0.8440718118429653
UCEC_molecular_subtype,42,liquid_cfc_modality_sequence,train_misaligned,0.75,multiomics_core,8,0.9255307666544879,153,0.8235294117647058,0.8180504019789734,0.8100051050655425,0.9642569451791725
