task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_ovr_macro_mean
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,135.0,0.867181235253303,0.04718569977022507,0.8838053740014523,0.9610147298471216
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,135.0,0.8242261745756512,0.0032735845311142367,0.8281681625334877,0.9324761082780029
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,135.0,0.7045331958147801,0.05497875742576758,0.7400562209643736,0.8983901813617446
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,135.0,0.5641323756995532,0.0313640226782961,0.5895695864736111,0.7952177323873019
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,135.0,0.5444301550911882,0.014325314371162575,0.5530850298652156,0.7575394529716748
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,135.0,0.39558463464843935,0.05818753230164586,0.4210491568592704,0.6393286988975891
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,135.0,0.8381921502164493,0.05717924151497045,0.8662441407539446,0.9648123585925861
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,135.0,0.8394399682818644,0.03109599333691192,0.8705354195550274,0.9553870182140142
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,135.0,0.831072141425822,0.0657931776536347,0.8725820294447745,0.9529521825250088
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,135.0,0.8152198254050861,0.03215721655769426,0.8475605730507692,0.9415842978432751
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,135.0,0.7951208377171527,0.05779044817293542,0.7921387942027778,0.9360437863527103
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,135.0,0.7010376940999744,0.07481376887737141,0.6770804015386059,0.8722991563721575
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,135.0,0.8332053407010452,0.021276800709076893,0.853172245329108,0.9505655139782703
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,135.0,0.8188492455083165,0.02111675212542717,0.8462575531718978,0.9391898463780084
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,135.0,0.7013189715626676,0.09888472542611734,0.734010208726411,0.8741103917430486
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,135.0,0.612998560445067,0.030447098235416387,0.6069814067750084,0.8177383877990768
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,135.0,0.49769990661557245,0.040812866589070525,0.5098699412424902,0.7404246373188341
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,135.0,0.40022810028673095,0.04385578310335889,0.3967643410367869,0.6847768049851121
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,135.0,0.804110551616188,0.04065054992437503,0.8318096687549731,0.9390918009649601
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,135.0,0.7848521358120278,0.05712657802801678,0.8469663959860038,0.9536523916795082
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,135.0,0.7810870928206456,0.08712889280367486,0.8275566118703374,0.9328743225706635
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,135.0,0.7434116331040778,0.09997934512205053,0.7922534599521183,0.905066149401018
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,135.0,0.7789014043187651,0.03864109691807416,0.8016456272390226,0.9194790316978301
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,135.0,0.5638728581683905,0.08892473963041218,0.5555242830784627,0.8328062438111802
