task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_mean
COADREAD_molecular_subtype,extra_trees,mrna_only,mrna,0.0,3,135.0,0.725045131541474,0.023047503922012196,0.6852425180598556,0.9485983176457932
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.0,3,135.0,0.8892811397537588,0.05518182718349139,0.8671093459535152,0.9609234613672131
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.1,3,135.0,0.8171652835423854,0.03256576593374202,0.7984558345755456,0.9298412242740346
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.25,3,135.0,0.7598718244765051,0.07089881381482595,0.7381312262633212,0.8821548335846238
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.5,3,135.0,0.6563896895721386,0.05690164400601988,0.635821580094026,0.7999823396678556
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.75,3,135.0,0.5241924529381234,0.0779853572175298,0.5113883937413349,0.7210934700615286
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,1.0,3,135.0,0.3551399206752622,0.03511834168823345,0.3574617867703523,0.5848688033614903
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.0,3,135.0,0.8892811397537588,0.05518182718349139,0.8671093459535152,0.9609234613672131
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.1,3,135.0,0.9027778725208563,0.0547503679488258,0.8794932468823077,0.9588777418193821
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.25,3,135.0,0.848930230208854,0.034656106772109285,0.8141337697581248,0.965507146945205
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.5,3,135.0,0.7624552142687676,0.03494455599876712,0.7223942208462333,0.9648428362323479
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.75,3,135.0,0.642807527944428,0.0497226816546765,0.6226350189198486,0.9382594737123507
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,1.0,3,135.0,0.5007943467995876,0.027781887664353907,0.4853801169590643,0.9289993434603029
